"db--table--sql: idc-- -- 
        select table_name,table_rows from information_schema.tables
cond_instances,768
global_variables,671
session_variables,671
variables_info,671
events_waits_summary_global_by_event_name,654
events_statements_histogram_global,450
memory_summary_global_by_event_name,450
host_cache,279
events_stages_current,256
events_transactions_current,256
events_transactions_summary_by_thread_by_event_name,256
processlist,256
replication_applier_configuration,256
replication_applier_status,256
replication_applier_status_by_coordinator,256
replication_connection_configuration,256
replication_connection_status,256
socket_instances,256
socket_summary_by_instance,256
threads,256
global_status,253
session_status,253
events_statements_summary_global_by_event_name,219
events_stages_summary_global_by_event_name,175
accounts,128
events_transactions_summary_by_account_by_event_name,128
events_transactions_summary_by_host_by_event_name,128
events_transactions_summary_by_user_by_event_name,128
hosts,128
setup_actors,128
setup_objects,128
users,128
error_log,108
setup_threads,100
keyring_keys,96
tls_channel_status,96
file_summary_by_event_name,80
keyring_component_status,64
setup_consumers,16
user_defined_functions,13
socket_summary_by_event_name,10
performance_timers,5
events_transactions_summary_global_by_event_name,1
log_status,1
binary_log_transaction_compression_stats,0
events_statements_summary_by_program,0
persisted_variables,0
prepared_statements_instances,0
replication_applier_filters,0
replication_applier_global_filters,0
replication_asynchronous_connection_failover,0
replication_asynchronous_connection_failover_managed,0
replication_group_member_stats,0
replication_group_members,0
table_handles,0
"db--table--sql: sakila-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'sakila' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
payment,16086
rental,16008
film_actor,5462
inventory,4581
film,1000
film_category,1000
film_text,1000
address,603
city,600
customer,599
actor,200
country,109
category,16
language,6
staff,2
store,2
actor_info,
customer_list,
film_list,
nicer_but_slower_film_list,
sales_by_film_category,
sales_by_store,
staff_list,
"db--table--sql: sys-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'sys' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
sys_config,6
host_summary,
host_summary_by_file_io,
host_summary_by_file_io_type,
host_summary_by_stages,
host_summary_by_statement_latency,
host_summary_by_statement_type,
innodb_buffer_stats_by_schema,
innodb_buffer_stats_by_table,
innodb_lock_waits,
io_by_thread_by_latency,
io_global_by_file_by_bytes,
io_global_by_file_by_latency,
io_global_by_wait_by_bytes,
io_global_by_wait_by_latency,
latest_file_io,
memory_by_host_by_current_bytes,
memory_by_thread_by_current_bytes,
memory_by_user_by_current_bytes,
memory_global_by_current_bytes,
memory_global_total,
metrics,
processlist,
ps_check_lost_instrumentation,
schema_auto_increment_columns,
schema_index_statistics,
schema_object_overview,
schema_redundant_indexes,
schema_table_lock_waits,
schema_table_statistics,
schema_table_statistics_with_buffer,
schema_tables_with_full_table_scans,
schema_unused_indexes,
session,
session_ssl_status,
statement_analysis,
statements_with_errors_or_warnings,
statements_with_full_table_scans,
statements_with_runtimes_in_95th_percentile,
statements_with_sorting,
statements_with_temp_tables,
user_summary,
user_summary_by_file_io,
user_summary_by_file_io_type,
user_summary_by_stages,
user_summary_by_statement_latency,
user_summary_by_statement_type,
version,
wait_classes_global_by_avg_latency,
wait_classes_global_by_latency,
waits_by_host_by_latency,
waits_by_user_by_latency,
waits_global_by_latency,
x$host_summary,
x$host_summary_by_file_io,
x$host_summary_by_file_io_type,
x$host_summary_by_stages,
x$host_summary_by_statement_latency,
x$host_summary_by_statement_type,
x$innodb_buffer_stats_by_schema,
x$innodb_buffer_stats_by_table,
x$innodb_lock_waits,
x$io_by_thread_by_latency,
x$io_global_by_file_by_bytes,
x$io_global_by_file_by_latency,
x$io_global_by_wait_by_bytes,
x$io_global_by_wait_by_latency,
x$latest_file_io,
x$memory_by_host_by_current_bytes,
x$memory_by_thread_by_current_bytes,
x$memory_by_user_by_current_bytes,
x$memory_global_by_current_bytes,
x$memory_global_total,
x$processlist,
x$ps_digest_95th_percentile_by_avg_us,
x$ps_digest_avg_latency_distribution,
x$ps_schema_table_statistics_io,
x$schema_flattened_keys,
x$schema_index_statistics,
x$schema_table_lock_waits,
x$schema_table_statistics,
x$schema_table_statistics_with_buffer,
x$schema_tables_with_full_table_scans,
x$session,
x$statement_analysis,
x$statements_with_errors_or_warnings,
x$statements_with_full_table_scans,
x$statements_with_runtimes_in_95th_percentile,
x$statements_with_sorting,
x$statements_with_temp_tables,
x$user_summary,
x$user_summary_by_file_io,
x$user_summary_by_file_io_type,
x$user_summary_by_stages,
x$user_summary_by_statement_latency,
x$user_summary_by_statement_type,
x$wait_classes_global_by_avg_latency,
x$wait_classes_global_by_latency,
x$waits_by_host_by_latency,
x$waits_by_user_by_latency,
x$waits_global_by_latency,
"db--table--sql: world-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'world' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
city,4188
countrylanguage,984
country,239
