db--table--sql: ecology--appuseinfo-- show table status from `ecology` like 'appuseinfo';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
appuseinfo,InnoDB,10,Dynamic,0,0,16384,0,0,0,1,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--assortimportfaildetail-- show table status from `ecology` like 'assortimportfaildetail';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
assortimportfaildetail,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:08:07,,,utf8mb3_general_ci,,,
db--table--sql: ecology--assortimporthistory-- show table status from `ecology` like 'assortimporthistory';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
assortimporthistory,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:08:07,,,utf8mb3_general_ci,,,
db--table--sql: ecology--auto_generated_keys-- show table status from `ecology` like 'auto_generated_keys';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
auto_generated_keys,InnoDB,10,Dynamic,2,8192,16384,0,16384,0,,2023-06-01 15:07:46,,,utf8mb3_general_ci,,,
db--table--sql: ecology--autoconfigkey-- show table status from `ecology` like 'autoconfigkey';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
autoconfigkey,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:06:47,,,utf8mb3_general_ci,,,
db--table--sql: ecology--autoconfiglog-- show table status from `ecology` like 'autoconfiglog';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
autoconfiglog,InnoDB,10,Dynamic,125,1179,147456,0,0,0,126,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--autologin_status-- show table status from `ecology` like 'autologin_status';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
autologin_status,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--base_freefield-- show table status from `ecology` like 'base_freefield';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
base_freefield,InnoDB,10,Dynamic,14,1170,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bgyp-- show table status from `ecology` like 'bgyp';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bgyp,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bgyp2-- show table status from `ecology` like 'bgyp2';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bgyp2,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_approve-- show table status from `ecology` like 'bill_approve';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_approve,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_approvecustomer-- show table status from `ecology` like 'bill_approvecustomer';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_approvecustomer,InnoDB,10,Dynamic,0,0,16384,0,0,0,1,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_approveproj-- show table status from `ecology` like 'bill_approveproj';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_approveproj,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:10:27,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_bohaievection-- show table status from `ecology` like 'bill_bohaievection';
