"schema--table--sql: BENCHMARKSQL--dba_tables-- SELECT table_name ,num_rows  FROM dba_tables WHERE OWNER='BENCHMARKSQL'and num_rows is not null order by num_rows desc"
TABLE_NAME,NUM_ROWS
TEST_FKTB_1426,100
TEST_FKTB_1427,100
TEST_FKTB_1428,100
TEST_FKTB_1429,100
TEST_FKTB_143,100
TEST_FKTB_1430,100
TEST_FKTB_1431,100
TEST_FKTB_1432,100
TEST_FKTB_1433,100
TEST_FKTB_1434,100
TEST_FKTB_1435,100
TEST_FKTB_1436,100
TEST_FKTB_1437,100
TEST_FKTB_1438,100
TEST_FKTB_1439,100
TEST_FKTB_144,100
TEST_FKTB_1440,100
TEST_FKTB_1441,100
TEST_FKTB_1442,100
TEST_FKTB_1443,100
TEST_FKTB_1444,100
TEST_FKTB_1445,100
TEST_FKTB_1446,100
TEST_FKTB_1447,100
TEST_FKTB_1448,100
TEST_FKTB_1449,100
TEST_FKTB_145,100
TEST_FKTB_1450,100
TEST_FKTB_1451,100
TEST_FKTB_1452,100
TEST_FKTB_1453,100
TEST_FKTB_1454,100
TEST_FKTB_1455,100
TEST_FKTB_1456,100
TEST_FKTB_1457,100
TEST_FKTB_1458,100
TEST_FKTB_1459,100
TEST_FKTB_146,100
TEST_FKTB_1460,100
TEST_FKTB_1461,100
TEST_FKTB_1462,100
TEST_FKTB_1463,100
TEST_FKTB_1464,100
TEST_FKTB_1465,100
TEST_FKTB_1466,100
TEST_FKTB_1467,100
TEST_FKTB_1468,100
TEST_FKTB_1469,100
TEST_FKTB_147,100
TEST_FKTB_1470,100
TEST_FKTB_1471,100
TEST_FKTB_1472,100
TEST_FKTB_1473,100
TEST_FKTB_1474,100
TEST_FKTB_1475,100
TEST_FKTB_1476,100
TEST_FKTB_1477,100
TEST_FKTB_1478,100
TEST_FKTB_1479,100
TEST_FKTB_148,100
TEST_FKTB_1480,100
TEST_FKTB_1481,100
TEST_FKTB_1482,100
TEST_FKTB_1483,100
TEST_FKTB_1484,100
TEST_FKTB_1485,100
TEST_FKTB_1486,100
TEST_FKTB_1487,100
TEST_FKTB_1488,100
TEST_FKTB_1489,100
TEST_FKTB_149,100
TEST_FKTB_1490,100
TEST_FKTB_1491,100
TEST_FKTB_1492,100
TEST_FKTB_1493,100
TEST_FKTB_1494,100
TEST_FKTB_1495,100
TEST_FKTB_1496,100
TEST_FKTB_1497,100
TEST_FKTB_1498,100
TEST_FKTB_1499,100
TEST_FKTB_15,100
TEST_FKTB_150,100
TEST_FKTB_1500,100
TEST_FKTB_1501,100
TEST_FKTB_1502,100
TEST_FKTB_1503,100
TEST_FKTB_1504,100
TEST_FKTB_1505,100
TEST_FKTB_1506,100
TEST_FKTB_1507,100
TEST_FKTB_1508,100
TEST_FKTB_1509,100
TEST_FKTB_151,100
TEST_FKTB_1510,100
TEST_FKTB_1511,100
TEST_FKTB_1512,100
TEST_FKTB_1513,100
TEST_FKTB_1514,100
TEST_FKTB_1515,100
TEST_FKTB_1516,100
TEST_FKTB_1517,100
TEST_FKTB_1518,100
TEST_FKTB_1519,100
TEST_FKTB_152,100
TEST_FKTB_1520,100
TEST_FKTB_1521,100
TEST_FKTB_1522,100
TEST_FKTB_1523,100
TEST_FKTB_1524,100
TEST_FKTB_1525,100
TEST_FKTB_1526,100
TEST_FKTB_1527,100
TEST_FKTB_1528,100
TEST_FKTB_1529,100
TEST_FKTB_153,100
TEST_FKTB_1530,100
TEST_FKTB_1531,100
TEST_FKTB_1532,100
TEST_FKTB_1533,100
TEST_FKTB_1534,100
TEST_FKTB_1535,100
TEST_FKTB_1536,100
TEST_FKTB_1537,100
TEST_FKTB_1538,100
TEST_FKTB_1539,100
TEST_FKTB_154,100
TEST_FKTB_1540,100
TEST_FKTB_1541,100
TEST_FKTB_1542,100
TEST_FKTB_1543,100
TEST_FKTB_1544,100
TEST_FKTB_1545,100
TEST_FKTB_1546,100
TEST_FKTB_1547,100
TEST_FKTB_1548,100
TEST_FKTB_1549,100
TEST_FKTB_155,100
TEST_FKTB_1550,100
TEST_FKTB_1551,100
TEST_FKTB_1552,100
TEST_FKTB_1553,100
TEST_FKTB_1554,100
TEST_FKTB_1555,100
TEST_FKTB_1556,100
TEST_FKTB_1557,100
TEST_FKTB_1558,100
TEST_FKTB_1559,100
TEST_FKTB_156,100
TEST_FKTB_1560,100
TEST_FKTB_1561,100
TEST_FKTB_1562,100
TEST_FKTB_1563,100
TEST_FKTB_1564,100
TEST_FKTB_1565,100
TEST_FKTB_1566,100
TEST_FKTB_1567,100
TEST_FKTB_1568,100
TEST_FKTB_1569,100
TEST_FKTB_157,100
TEST_FKTB_1570,100
TEST_FKTB_1571,100
TEST_FKTB_1572,100
TEST_FKTB_1573,100
TEST_FKTB_1574,100
TEST_FKTB_1575,100
TEST_FKTB_1576,100
TEST_FKTB_1577,100
TEST_FKTB_1578,100
TEST_FKTB_1579,100
TEST_FKTB_158,100
TEST_FKTB_1580,100
TEST_FKTB_1581,100
TEST_FKTB_1582,100
TEST_FKTB_1583,100
TEST_FKTB_1584,100
TEST_FKTB_1585,100
TEST_FKTB_1586,100
TEST_FKTB_1587,100
TEST_FKTB_1588,100
TEST_FKTB_1589,100
TEST_FKTB_159,100
TEST_FKTB_1590,100
TEST_FKTB_1591,100
TEST_FKTB_1592,100
TEST_FKTB_1593,100
TEST_FKTB_1594,100
TEST_FKTB_1595,100
TEST_FKTB_1596,100
TEST_FKTB_1597,100
TEST_FKTB_1598,100
TEST_FKTB_1599,100
TEST_FKTB_16,100
TEST_FKTB_160,100
TEST_FKTB_1600,100
TEST_FKTB_1601,100
TEST_FKTB_1602,100
TEST_FKTB_1603,100
TEST_FKTB_1604,100
TEST_FKTB_1605,100
TEST_FKTB_1606,100
TEST_FKTB_1607,100
TEST_FKTB_1608,100
TEST_FKTB_1609,100
TEST_FKTB_161,100
TEST_FKTB_1610,100
TEST_FKTB_1611,100
TEST_FKTB_1612,100
TEST_FKTB_1613,100
TEST_FKTB_1614,100
TEST_FKTB_1615,100
TEST_FKTB_1616,100
TEST_FKTB_1617,100
TEST_FKTB_1618,100
TEST_FKTB_1619,100
TEST_FKTB_162,100
TEST_FKTB_1620,100
TEST_FKTB_1621,100
TEST_FKTB_1622,100
TEST_FKTB_1623,100
TEST_FKTB_1624,100
TEST_FKTB_1625,100
TEST_FKTB_1626,100
TEST_FKTB_1627,100
